SrcKeyTemplateName,MapField,MapMask,OptionalNote
apaccitadj[id]dbmkeypass,[id],5digit,
apaccitadj[id]dbuser,[id],5digit,
boardwalk[id]dbmkeypass,[id],5digit,
boardwalk[id]dbuser,[id],5digit,
connectionstring-apaccitadj[id]db,[id],5digit,
connectionstring-boardwalk[id]db,[id],5digit,
connectionstring-decision[id]db,[id],5digit,
connectionstring-document[id]db,[id],5digit,
connectionstring-entityservice[id]db,[id],5digit,
connectionstring-eyoods[id]db,[id],5digit,
connectionstring-inforequest[id]db,[id],5digit,
connectionstring-ingestion[id]db,[id],5digit,
connectionstring-notification[id]db,[id],5digit,
connectionstring-reporting[id]db,[id],5digit,
connectionstring-taxfactimportexport[id]db,[id],5digit,
decision[id]dbmkeypass,[id],5digit,
decision[id]dbuser,[id],5digit,
document[id]dbmkeypass,[id],5digit,
document[id]dbuser,[id],5digit,
entityservice[id]dbmkeypass,[id],5digit,
entityservice[id]dbuser,[id],5digit,
eyoods[id]dbmkeypass,[id],5digit,
eyoods[id]dbuser,[id],5digit,
inforequest[id]dbmkeypass,[id],5digit,
inforequest[id]dbuser,[id],5digit,
ingestion[id]dbmkeypass,[id],5digit,
ingestion[id]dbuser,[id],5digit,
notification[id]dbmkeypass,[id],5digit,
notification[id]dbuser,[id],5digit,
reporting[id]dbmkeypass,[id],5digit,
reporting[id]dbuser,[id],5digit,
taxfactimportexport[id]dbmkeypass,[id],5digit,
taxfactimportexport[id]dbuser,[id],5digit,
varpassdatabw[id]staging,[id],5digit,
